season,contestant,followers_june2017
S01,BeBe Zahara Benet,52000
S02,Tyra Sanchez,128300
S03,Raja,485100
S04,Sharon Needles,668000
S05,Jinkx Monsoon,532600
S06,Bianca Del Rio,992100
S07,Violet Chachki,794400
S08,Bob the Drag Queen,531600
S09,Sasha Velour,292100
S01,Nina Flowers,79800
S02,Raven,104000
S03,Manila Luzon,387100
S04,Chad Michaels,199000
S05,ALASKA,956400
S06,ADORE DELANO,1100000
S07,GINGER MINJ,233000
S08,Kim Chi,798500
S09,Shea Coulee,248800
S01,Rebecca Glasscock,3265
S02,Jujubee,321800
S03,Alexis Mateo,59400
S04,PHI PHI O'HARA,373000
S05,ROXXXY ANDREWS,302000
S06,Courtney Act,598200
S07,Pearl,693700
S08,Naomi Smalls,457500
S09,Trinity Taylor,150700
S01,Shannel,17500
S02,TATIANNA,352000
S03,Yara Sofia,154600
S04,Latrice Royale,431000
S05,DETOX,543200
S06,Darienne Lake,91000
S07,Kennedy Davenport,84200
S08,Chi Chi DeVayne,187900
S09,Peppermint,135900
S01,Ongina,92300
S02,Pandora Boxx,201900
S03,Carmen Carrera,345500
S04,Kenya Michaels,38400
S05,COCO MONTRESE,96600
S06,BenDeLaCreme,298600
S07,KATYA,808700
S08,Derrick Barry,175300
S09,Alexis Michelle,101000
S01,Jade Sotomayor,22300
S02,Jessica Wild,65900
S03,Shangela,261700
S04,DiDa Ritz,34900
S05,ALYSSA EDWARDS,717200
S06,Joslyn Fox,165700
S07,Trixie Mattel,577800
S08,Thorgy Thor,282100
S09,Nina Bo'nina Brown,191700
S01,Akashia,1189
S02,Sahara Davenport,1476
S03,Delta Work,96400
S04,Willam,638000
S05,Ivy Winters,241800
S06,Trinity K. Bonet,157700
S07,Miss Fame,763700
S08,Robbie Turner,83100
S09,Valentina,439200
S01,Tammie Brown,84000
S02,Morgan McMichaels,117300
S03,Stacy Layne Matthews,34400
S04,Jiggly Caliente,99600
S05,Jade Jolie,95500
S06,Laganja Estranja,356100
S07,Jaidynn Diore Fierce,93000
S08,Acid Betty,185800
S09,Farrah Moan,344800
S01,"Victoria ""Porkchop"" Parker",9247
S02,Sonique,55500
S03,Mariah,37900
S04,Milan,5271
S05,Lineysha Sparx,30500
S06,Milk,525000
S07,Max,214800
S08,Naysha Lopez,69000
S09,Aja,288400
